,stratum,S,num.comp,mean.rsq,mean.E.rsq,Ne,param.lci,param.uci
1,BD,19.0000000000023,13684296,0.0689089334085179,0.0618360110803254,41.7869606091141,41.4706297141388,42.1075726806397
2,BE,18.9999999999995,8629935,0.0723915154565872,0.0618360110803302,27.3798301780435,27.1912748647159,27.5705580397522
3,BN,23.999999999999,6331461,0.0576985666682244,0.0473000000000007,27.8220856425362,27.6412346799814,28.0048467147474
4,BS,25.0000000000014,12115503,0.0532373624645869,0.0451839999999997,36.4746429556421,36.273773306329,36.6773896261203
5,BW,8,7317225,0.200830684133122,0.184549999999989,17.0441897434636,16.804931255322,17.2891009705732
6,CB,22.0000000000026,10790335,0.0590772470274231,0.0522008264462763,43.0334917582214,42.7103750854193,43.360902250413
7,CM,24.9999999999994,7866561,0.0579226713988868,0.0451840000000027,22.3520922779016,22.2431187945016,22.46187811126
8,GM,23.0000000000011,12809391,0.0566268383284274,0.0496279773156968,42.2485732341655,41.9739011848729,42.5263782264553
9,JE,12.9999999999995,10010575,0.109902445476929,0.097841420118336,23.7191065782037,23.5155259352717,23.9256680458332
10,JP,18.0000000000019,9801378,0.0749850516310512,0.0658925925925865,32.0921617871627,31.8456926101035,32.3419105726546
11,JS,12.0000000000009,11288376,0.114346556589993,0.108216666666659,48.4963933903544,47.7333945098882,49.2822316397196
12,JW,24.0000000000004,14582700,0.0538459360105691,0.0472999999999925,45.2984219413952,45.0185813790806,45.5813091886763
13,KM,21.0000000000013,9187041,0.0633573235467742,0.055058503401355,35.3406966339309,35.0825486555095,35.6021038486381
14,KN,21.0000000000023,13171278,0.0622071815035161,0.0550585034013573,41.3246632666148,41.0395254670807,41.6132765422757
15,KS,6.00000000000001,7610851,0.307773751065163,0.27630000000001,7.61682635174117,7.51297160058842,7.72225284440465
